winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth_m,turn_times_m,average_turn_time_m,turn_nodes_m,average_turn_nodes_m,depth_n,turn_times_n,average_turn_time_n,turn_nodes_n,average_turn_nodes_n
Minimax,Negamax,8,vertical,True,True,4,"[15.0984, 30.386, 41.1353, 21.4964]",27.03,"[87479, 178915, 243805, 132215]",160603.5,4,"[2.7065, 7.0262, 15.7631, 14.1812]",9.92,"[14811, 39002, 89725, 83555]",56773.25
Minimax,Minimax,5,vertical,True,True,5,"[31.2104, 73.4325, 98.4216]",67.69,"[144716, 363666, 518860]",342414.0,5,"[42.4813, 103.6083]",73.04,"[232515, 577181]",404848.0
Minimax,Minimax,9,vertical,True,True,1,"[0.005, 0.005, 0.009, 0.012, 0.016]",0.01,"[19, 19, 37, 55, 73]",40.6,1,"[0.005, 0.009, 0.012, 0.013]",0.01,"[19, 37, 55, 55]",41.5
Minimax,Negamax,12,lrd,True,True,2,"[0.065, 0.136, 0.197, 0.148, 0.344, 0.187]",0.18,"[369, 770, 1100, 828, 1862, 1186]",1019.17,2,"[0.052, 0.121, 0.117, 0.111, 0.156, 0.142]",0.12,"[287, 689, 648, 649, 870, 802]",657.5
Negamax,Negamax,13,vertical,True,True,3,"[1.1265, 1.5495, 3.5843, 3.7655, 2.3856, 1.3486]",2.29,"[6315, 8645, 20109, 21617, 13384, 7974]",13007.33,3,"[0.9953, 1.505, 2.384, 4.0832, 3.5398, 3.0931, 0.9109]",2.36,"[5731, 8473, 13588, 23283, 20382, 17660, 5368]",13497.86
Minimax,Negamax,12,lrd,True,True,4,"[10.8717, 28.3696, 24.2927, 32.3342, 22.9211, 14.619]",22.23,"[63301, 163450, 141717, 191830, 141066, 90148]",131918.67,4,"[3.0388, 6.5397, 8.333, 15.3591, 16.3962, 6.8491]",9.42,"[16921, 35924, 45870, 85495, 95210, 41912]",53555.33
Negamax,Minimax,11,lrd,True,True,5,"[15.8713, 44.4325, 105.7169, 127.9769, 70.3548, 27.7897]",65.36,"[70947, 211755, 524286, 682610, 405500, 166361]",343576.5,5,"[27.2565, 61.1338, 114.0096, 101.2892, 38.1396]",68.37,"[146466, 338044, 650318, 608197, 237597]",396124.4
Negamax,Negamax,9,vertical,True,True,1,"[0.009, 0.011, 0.012, 0.012]",0.01,"[37, 55, 55, 55]",50.5,1,"[0.005, 0.012, 0.015, 0.013, 0.012]",0.01,"[19, 55, 73, 55, 55]",51.4
Minimax,Negamax,10,vertical,True,True,2,"[0.068, 0.152, 0.21, 0.377, 0.177]",0.2,"[386, 865, 1169, 2118, 1129]",1133.4,2,"[0.066, 0.103, 0.098, 0.245, 0.208]",0.14,"[366, 573, 542, 1375, 1226]",816.4
Minimax,Minimax,9,vertical,True,True,3,"[0.96, 1.208, 1.6127, 3.0359, 1.6073]",1.68,"[5496, 7111, 9122, 17542, 10531]",9960.4,3,"[0.9766, 2.3201, 2.4042, 2.6271]",2.08,"[5575, 13140, 13639, 15535]",11972.25
Minimax,Negamax,12,lrd,True,True,4,"[13.0364, 29.6995, 44.857, 25.5332, 38.6165, 27.1053]",29.81,"[76248, 170273, 259916, 153334, 227533, 169515]",176136.5,4,"[2.5993, 4.6843, 8.6519, 8.3062, 11.0973, 15.9822]",8.55,"[14514, 27256, 47398, 46286, 60467, 91389]",47885.0
Negamax,Minimax,8,vertical,True,True,5,"[30.3724, 35.1508, 53.6299, 39.6151]",39.69,"[149796, 157252, 259668, 186508]",188306.0,5,"[17.1433, 35.7211, 26.9408, 42.7227]",30.63,"[95402, 194831, 149976, 247753]",171990.5
Negamax,Minimax,8,vertical,True,True,1,"[0.005, 0.008, 0.012, 0.011]",0.01,"[19, 37, 55, 55]",41.5,1,"[0.009, 0.012, 0.015, 0.011]",0.01,"[37, 55, 73, 55]",55.0
Negamax,Minimax,12,horizontal,True,True,2,"[0.143, 0.2603, 0.443, 0.39, 0.5502, 0.299]",0.35,"[827, 1467, 2490, 2202, 3082, 1811]",1979.83,2,"[0.1433, 0.2824, 0.309, 0.402, 0.189, 0.153]",0.25,"[807, 1592, 1724, 2263, 1079, 879]",1390.67
Minimax,Minimax,5,vertical,True,True,3,"[1.0273, 2.7003, 1.9674]",1.9,"[5759, 15428, 11489]",10892.0,3,"[1.6742, 2.8032]",2.24,"[9572, 16177]",12874.5
Minimax,Minimax,13,vertical,True,True,4,"[15.4022, 14.0962, 36.4143, 50.4067, 87.7244, 59.5211, 15.4795]",39.86,"[90030, 81944, 208342, 288914, 498874, 355733, 94283]",231160.0,4,"[3.5052, 8.1737, 10.5158, 10.9268, 29.6987, 8.4871]",11.88,"[20824, 45187, 58832, 63797, 168193, 49875]",67784.67
Negamax,Negamax,3,horizontal,True,True,5,[18.8249],18.82,[93242],93242.0,5,"[18.8765, 22.096]",20.49,"[109872, 134456]",122164.0
Minimax,Minimax,9,vertical,True,True,1,"[0.005, 0.005, 0.009, 0.012, 0.014]",0.01,"[19, 19, 37, 55, 73]",40.6,1,"[0.005, 0.008, 0.011, 0.012]",0.01,"[19, 37, 55, 55]",41.5
Negamax,Minimax,12,vertical,True,True,2,"[0.074, 0.228, 0.3305, 0.31, 0.365, 0.218]",0.25,"[422, 1309, 1879, 1741, 2077, 1277]",1450.83,2,"[0.12, 0.166, 0.275, 0.191, 0.206, 0.124]",0.18,"[673, 950, 1540, 1074, 1157, 727]",1020.17
Minimax,Minimax,9,vertical,True,True,3,"[0.535, 1.1086, 2.4382, 2.4978, 1.3531]",1.59,"[2998, 6296, 13938, 14848, 8995]",9415.0,3,"[0.8112, 1.7879, 2.1345, 1.8269]",1.64,"[4603, 10244, 12583, 11322]",9688.0
Minimax,Negamax,8,vertical,True,True,4,"[38.5659, 103.5976, 105.2189, 43.4609]",72.71,"[224375, 601826, 611758, 259705]",424416.0,4,"[9.6976, 18.4025, 28.8569, 30.7147]",21.92,"[53834, 101706, 160535, 176668]",123185.75
Negamax,Negamax,3,horizontal,True,True,5,[15.8664],15.87,[84019],84019.0,5,"[19.1145, 23.2391]",21.18,"[111950, 131882]",121916.0
Minimax,Negamax,8,vertical,True,True,1,"[0.008, 0.011, 0.016, 0.012]",0.01,"[37, 55, 73, 55]",55.0,1,"[0.005, 0.008, 0.012, 0.011]",0.01,"[19, 37, 55, 55]",41.5
Minimax,Negamax,10,vertical,True,True,2,"[0.068, 0.151, 0.226, 0.2337, 0.194]",0.17,"[418, 857, 1293, 1327, 1276]",1034.2,2,"[0.055, 0.075, 0.172, 0.11, 0.2195]",0.13,"[313, 420, 955, 608, 1242]",707.6
Negamax,Minimax,10,vertical,True,True,3,"[0.537, 1.1838, 1.8099, 2.0594, 2.2196]",1.56,"[3028, 6713, 10186, 11664, 13351]",8988.4,3,"[0.9982, 1.0222, 1.6978, 2.339, 1.6117]",1.53,"[5860, 5853, 9669, 13789, 10393]",9112.8
Minimax,Minimax,13,vertical,True,True,4,"[10.4001, 13.6261, 36.4741, 50.2261, 87.2486, 59.4971, 15.3525]",38.97,"[60671, 78835, 208342, 288914, 498874, 355733, 94283]",226521.71,4,"[2.9621, 8.192, 10.5548, 10.9541, 29.6989, 8.4447]",11.8,"[16265, 45187, 58832, 63797, 168193, 49875]",67024.83
Minimax,Negamax,8,lru,True,True,5,"[16.9571, 54.0883, 74.198, 48.4621]",48.43,"[75251, 267408, 374660, 273406]",247681.25,5,"[11.8516, 29.1014, 66.7382, 88.2682]",48.99,"[64664, 156964, 370642, 508965]",275308.75
Minimax,Negamax,6,vertical,True,True,1,"[0.008, 0.008, 0.011]",0.01,"[37, 37, 55]",43.0,1,"[0.005, 0.008, 0.012]",0.01,"[19, 37, 55]",37.0
Negamax,Minimax,12,lrd,True,True,2,"[0.067, 0.145, 0.137, 0.148, 0.2652, 0.2811]",0.17,"[378, 829, 782, 883, 1494, 1669]",1005.83,2,"[0.058, 0.148, 0.131, 0.207, 0.284, 0.157]",0.16,"[326, 835, 728, 1152, 1612, 941]",932.33
Minimax,Negamax,8,vertical,True,True,3,"[0.8093, 1.789, 2.224, 1.3884]",1.55,"[4493, 10145, 12856, 8607]",9025.25,3,"[0.5282, 1.0962, 2.4095, 2.503]",1.63,"[2995, 6297, 13961, 14818]",9517.75
Minimax,Negamax,12,vertical,True,True,4,"[7.6404, 25.3735, 28.0479, 33.7236, 41.9505, 28.1397]",27.48,"[47471, 146259, 163973, 196395, 242639, 169145]",160980.33,4,"[2.0393, 3.6891, 9.0097, 8.4193, 18.6947, 16.6988]",9.76,"[11947, 20038, 49345, 46725, 107416, 95858]",55221.5
Minimax,Minimax,11,lru,True,True,5,"[32.8161, 31.457, 54.2194, 92.7899, 77.0572, 45.1281]",55.58,"[154975, 142299, 270768, 490288, 407188, 256877]",287065.83,5,"[27.7417, 37.1871, 50.1772, 81.15, 61.5089]",51.55,"[153329, 202301, 284297, 476077, 363155]",295831.8
Negamax,Negamax,9,vertical,True,True,1,"[0.006, 0.009, 0.012, 0.011]",0.01,"[19, 37, 55, 55]",41.5,1,"[0.005, 0.005, 0.008, 0.012, 0.016]",0.01,"[19, 19, 37, 55, 73]",40.6
Minimax,Minimax,13,vertical,True,True,2,"[0.0613, 0.075, 0.169, 0.2073, 0.182, 0.419, 0.175]",0.18,"[345, 419, 953, 1142, 975, 2334, 1131]",1042.71,2,"[0.0577, 0.121, 0.1664, 0.165, 0.168, 0.235]",0.15,"[352, 676, 942, 936, 959, 1342]",867.83
Minimax,Negamax,8,vertical,True,True,3,"[1.5721, 1.6768, 2.4199, 2.1252]",1.95,"[8855, 9505, 14018, 12768]",11286.5,3,"[0.9563, 1.1501, 2.2415, 2.0454]",1.6,"[5426, 6562, 12989, 12108]",9271.25
Minimax,Negamax,10,vertical,True,True,4,"[12.6498, 27.8662, 24.708, 31.6221, 28.6258]",25.09,"[73132, 160438, 143787, 184422, 172726]",146901.0,4,"[3.0763, 3.7281, 7.994, 8.1183, 15.7096]",7.73,"[16693, 20160, 44103, 44932, 90644]",43306.4
Minimax,Minimax,11,vertical,True,True,5,"[25.2456, 36.8537, 64.6984, 86.404, 79.1108, 40.8352]",55.52,"[124154, 163836, 325631, 468146, 453366, 231786]",294486.5,5,"[23.2527, 39.0351, 71.5828, 66.5187, 44.9067]",49.06,"[128903, 213650, 404611, 393443, 271504]",282422.2
Negamax,Negamax,9,vertical,True,True,1,"[0.005, 0.008, 0.012, 0.011]",0.01,"[19, 37, 55, 55]",41.5,1,"[0.005, 0.005, 0.009, 0.012, 0.015]",0.01,"[19, 19, 37, 55, 73]",40.6
Minimax,Minimax,13,vertical,True,True,2,"[0.06, 0.079, 0.167, 0.205, 0.1813, 0.414, 0.174]",0.18,"[344, 451, 953, 1142, 975, 2334, 1131]",1047.14,2,"[0.061, 0.12, 0.166, 0.163, 0.1694, 0.233]",0.15,"[378, 676, 942, 936, 959, 1342]",872.17
