winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth,turn_times,average_turn_time,turn_nodes,average_turn_nodes
Minimax,Minimax,15,vertical,True,True,3,"[0.002, 0.495, 0.6103, 1.2257, 1.573, 1.3472, 1.0087, 0.8045]",0.88,"[1, 2807, 3444, 7004, 9000, 8401, 6771, 5872]",5412.5

Minimax,Minimax,11,vertical,True,True,4,"[0.002, 8.6692, 6.9177, 17.107, 27.2163, 37.7517]",16.28,"[1, 51171, 40560, 99843, 158386, 224867]",95804.67

Minimax,Random,14,vertical,True,True,5,"[8.7397, 15.7972, 30.095, 43.6898, 46.7061, 26.4793, 17.8348]",27.05,"[37410, 68056, 139766, 203261, 217319, 136148, 98745]",128672.14

Minimax,Random,10,vertical,True,True,1,"[0.0063, 0.0053, 0.0082, 0.0083, 0.0116]",0.01,"[19, 19, 37, 37, 55]",33.4

Minimax,Random,12,vertical,True,True,2,"[0.0591, 0.142, 0.062, 0.1432, 0.224, 0.183]",0.14,"[343, 828, 362, 818, 1300, 1060]",785.17

Minimax,Random,10,vertical,True,True,3,"[0.359, 0.8599, 1.0312, 1.5271, 2.068]",1.17,"[2008, 4770, 6008, 8935, 11775]",6699.2

Minimax,Minimax,15,lrd,True,True,4,"[0.002, 7.1092, 6.8667, 14.0763, 34.6755, 48.7999, 86.1201, 35.5016]",29.14,"[1, 41942, 42266, 81708, 199155, 281339, 499192, 214106]",169963.62

Minimax,Random,13,vertical,True,True,5,"[8.8383, 11.5537, 14.8685, 40.7945, 39.8055, 29.917]",24.3,"[38005, 53707, 64672, 191990, 181332, 142606]",112052.0

Minimax,Minimax,13,vertical,True,True,1,"[0.003, 0.005, 0.005, 0.009, 0.008, 0.008, 0.012]",0.01,"[1, 19, 19, 37, 37, 37, 55]",29.29

Minimax,Minimax,15,lru,True,True,2,"[0.003, 0.0628, 0.0731, 0.135, 0.213, 0.2561, 0.358, 0.287]",0.17,"[1, 343, 368, 781, 1203, 1437, 2002, 1606]",967.62

Minimax,Random,12,vertical,True,True,3,"[0.351, 0.4637, 0.612, 1.171, 1.644, 1.6565]",0.98,"[1983, 2618, 3451, 6665, 9534, 9398]",5608.17

Minimax,Random,8,horizontal,True,True,4,"[6.0625, 19.887, 21.4073, 27.0934]",18.61,"[35690, 117979, 127111, 161357]",110534.25

Minimax,Minimax,15,lru,True,True,5,"[0.002, 13.3756, 17.0442, 43.9366, 41.4708, 56.4067, 32.3384, 15.0127]",27.45,"[1, 60852, 74336, 215146, 204395, 296835, 187618, 89876]",141132.38

Minimax,Minimax,7,horizontal,True,True,1,"[0.002, 0.006, 0.006, 0.007]",0.01,"[1, 19, 19, 37]",19.0

Minimax,Random,8,horizontal,True,True,2,"[0.061, 0.136, 0.147, 0.151]",0.12,"[343, 772, 840, 930]",721.25

Minimax,Minimax,9,vertical,True,True,3,"[0.003, 0.406, 0.5026, 1.1126, 1.5049]",0.71,"[1, 2283, 2798, 6101, 8719]",3980.4

Minimax,Minimax,13,horizontal,True,True,4,"[0.003, 8.3564, 9.1306, 14.9353, 22.7662, 46.5294, 23.5551]",17.9,"[1, 49357, 54842, 86688, 131219, 267996, 142606]",104672.71

Minimax,Minimax,11,horizontal,True,True,5,"[0.002, 13.8804, 17.2587, 26.8156, 37.7071, 49.0821]",24.12,"[1, 62736, 75051, 117917, 195695, 266424]",119637.33

Minimax,Random,14,horizontal,True,True,1,"[0.005, 0.005, 0.005, 0.008, 0.008, 0.015, 0.014]",0.01,"[19, 19, 19, 37, 37, 73, 73]",39.57

Minimax,Random,12,lrd,True,True,2,"[0.061, 0.065, 0.1663, 0.1436, 0.27, 0.183]",0.15,"[343, 362, 890, 806, 1527, 1121]",841.5

Minimax,Minimax,20,vertical,True,True,3,"[0.002, 0.526, 1.0119, 2.0212, 2.228, 1.732, 1.3282, 1.2323, 1.225, 0.4611]",1.18,"[1, 2978, 5758, 11850, 12619, 9986, 7836, 8016, 8149, 3280]",7047.3

Minimax,Minimax,15,vertical,True,True,4,"[0.002, 7.1787, 9.145, 14.9615, 39.6637, 34.8089, 26.8019, 15.0284]",18.45,"[1, 42280, 53584, 86688, 227785, 202390, 157125, 92242]",107761.88

Minimax,Random,13,vertical,True,True,5,"[8.758, 14.614, 15.1184, 52.5114, 35.1494, 34.1984]",26.72,"[37410, 68762, 65900, 246864, 162817, 168878]",125105.17

Minimax,Minimax,7,horizontal,True,True,1,"[0.002, 0.005, 0.005, 0.008]",0.01,"[1, 19, 19, 37]",19.0

