winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth,turn_times,average_turn_time,turn_nodes,average_turn_nodes
Negamax,Greedy,10,horizontal,True,True,4,"[8.1233, 8.2542, 7.1663, 15.9265, 11.5213]",10.2,"[45882, 47608, 42070, 93862, 70893]",60063.0

Negamax,Greedy,10,lrd,True,True,1,"[0.01, 0.012, 0.017, 0.009, 0.014]",0.01,"[37, 55, 73, 37, 55]",51.4

Negamax,Greedy,8,lrd,True,True,2,"[0.108, 0.113, 0.213, 0.149]",0.15,"[625, 631, 1208, 834]",824.5

Negamax,Greedy,6,vertical,True,True,3,"[0.8652, 2.0141, 2.1165]",1.67,"[4973, 11349, 12008]",9443.33

Negamax,Negamax,3,horizontal,True,True,4,"[3.9981, 5.0625]",4.53,"[22806, 29761]",26283.5

Greedy,Greedy,7,vertical,True,True,1,"[0.009, 0.009, 0.011]",0.01,"[37, 37, 55]",43.0

Negamax,Greedy,8,lru,True,True,2,"[0.085, 0.106, 0.2115, 0.278]",0.17,"[475, 596, 1198, 1569]",959.5

Negamax,Negamax,9,vertical,True,True,3,"[0.5789, 1.094, 2.0584, 1.5349, 2.307]",1.51,"[3259, 6218, 11906, 9047, 13739]",8833.8

Negamax,Negamax,3,horizontal,True,True,4,"[5.1975, 6.9243]",6.06,"[29069, 40296]",34682.5

Negamax,Greedy,8,vertical,True,True,1,"[0.008, 0.0083, 0.012, 0.012]",0.01,"[37, 37, 55, 55]",46.0

Greedy,Greedy,13,lru,True,True,2,"[0.052, 0.1487, 0.217, 0.186, 0.198, 0.152]",0.16,"[325, 827, 1212, 1063, 1122, 926]",912.5

Negamax,Greedy,4,horizontal,True,True,3,"[1.014, 1.212]",1.11,"[5926, 7308]",6617.0

Negamax,Greedy,6,vertical,True,True,4,"[3.4955, 9.0758, 15.2332]",9.27,"[20571, 50312, 87134]",52672.33

Negamax,Greedy,6,vertical,True,True,1,"[0.008, 0.008, 0.011]",0.01,"[37, 37, 55]",43.0

Negamax,Greedy,10,horizontal,True,True,2,"[0.175, 0.12, 0.116, 0.198, 0.129]",0.15,"[931, 690, 699, 1173, 798]",858.2

Negamax,Greedy,12,lru,True,True,3,"[0.766, 1.6943, 2.06, 2.5148, 1.9082, 1.6672]",1.77,"[4352, 9669, 11917, 14816, 11620, 10202]",10429.33

Negamax,Greedy,8,vertical,True,True,4,"[2.3387, 8.1959, 19.37, 20.9164]",12.71,"[14088, 45187, 108070, 121061]",72101.5

Negamax,Negamax,9,vertical,True,True,1,"[0.0051, 0.0055, 0.009, 0.017, 0.018]",0.01,"[19, 19, 37, 55, 73]",40.6

Negamax,Negamax,9,lru,True,True,2,"[0.055, 0.1, 0.218, 0.2851, 0.158]",0.16,"[304, 567, 1239, 1617, 897]",924.8

Negamax,Negamax,7,vertical,True,True,3,"[0.514, 0.8562, 1.4525, 2.1936]",1.25,"[3037, 4898, 8244, 12864]",7260.75

Negamax,Negamax,3,horizontal,True,True,4,"[2.4188, 6.829]",4.62,"[13721, 39308]",26514.5

Greedy,Greedy,3,vertical,True,True,1,[0.013],0.01,[55],55.0

Negamax,Greedy,12,lru,True,True,2,"[0.127, 0.122, 0.162, 0.149, 0.184, 0.132]",0.15,"[711, 674, 901, 836, 1036, 775]",822.17

Negamax,Greedy,12,vertical,True,True,3,"[0.455, 1.2449, 1.9484, 1.7889, 2.2233, 1.334]",1.5,"[2640, 6990, 11010, 10309, 12693, 8225]",8644.5

