winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth,turn_times,average_turn_time,turn_nodes,average_turn_nodes
Minimax,Minimax,9,lru,True,True,2,"[0.103, 0.244, 0.5015, 0.7056, 0.397]",0.39,"[346, 829, 1712, 2388, 1380]",1331.0
Minimax,Minimax,3,horizontal,True,True,3,"[0.7912, 2.0001]",1.4,"[2748, 7114]",4931.0
Minimax,Minimax,3,horizontal,True,True,4,"[33.0184, 23.7403]",28.38,"[116694, 84483]",100588.5
Minimax,Minimax,7,vertical,True,True,1,"[0.014, 0.008, 0.019, 0.019]",0.01,"[37, 19, 55, 55]",41.5
Minimax,Minimax,9,lru,True,True,2,"[0.2193, 0.2431, 0.498, 0.698, 0.3989]",0.41,"[758, 829, 1712, 2388, 1380]",1413.4
Minimax,Greedy,8,vertical,True,True,3,"[0.8297, 2.0828, 3.4883, 3.1667]",2.39,"[2869, 7023, 11696, 10959]",8136.75
Minimax,Minimax,5,vertical,True,True,4,"[16.4352, 42.2537, 62.6559]",40.45,"[57216, 146572, 218659]",140815.67
Minimax,Minimax,9,vertical,True,True,1,"[0.007, 0.008, 0.014, 0.018, 0.025]",0.01,"[19, 19, 37, 55, 73]",40.6
Minimax,Minimax,9,lrd,True,True,2,"[0.1026, 0.243, 0.3514, 0.571, 0.402]",0.33,"[345, 834, 1202, 1943, 1387]",1142.2
Minimax,Greedy,6,horizontal,True,True,3,"[2.2028, 4.5034, 2.5207]",3.08,"[7386, 15434, 8788]",10536.0
Minimax,Minimax,13,vertical,True,True,4,"[11.8173, 28.6725, 61.0141, 94.8193, 41.3752, 28.5964, 17.6537]",40.56,"[40957, 99038, 211367, 332147, 160818, 172493, 105676]",160356.57
Greedy,Greedy,7,vertical,True,True,1,"[0.009, 0.012, 0.0126]",0.01,"[37, 55, 55]",49.0
Minimax,Minimax,9,vertical,True,True,2,"[0.1541, 0.083, 0.176, 0.229, 0.356]",0.2,"[801, 451, 953, 1298, 2033]",1107.2
Minimax,Greedy,6,vertical,True,True,3,"[0.814, 1.8548, 1.9318]",1.53,"[4493, 10443, 11063]",8666.33
Minimax,Minimax,11,horizontal,True,True,4,"[9.2071, 23.1835, 38.1761, 47.9699, 19.0592, 12.6396]",25.04,"[53584, 133159, 220855, 278687, 113173, 76562]",146003.33
Greedy,Greedy,9,vertical,True,True,1,"[0.008, 0.012, 0.011, 0.011]",0.01,"[37, 55, 55, 55]",50.5
Minimax,Greedy,8,vertical,True,True,2,"[0.122, 0.1481, 0.2931, 0.2199]",0.2,"[707, 851, 1684, 1259]",1125.25
Minimax,Greedy,8,vertical,True,True,3,"[0.4826, 1.297, 2.5647, 2.7376]",1.77,"[2805, 7264, 14358, 15440]",9966.75
Minimax,Minimax,7,vertical,True,True,4,"[9.6197, 19.9762, 30.6585, 35.6598]",23.98,"[57254, 115298, 177646, 208099]",139574.25
Greedy,Greedy,7,horizontal,True,True,1,"[0.009, 0.011, 0.012]",0.01,"[37, 55, 55]",49.0
Minimax,Greedy,12,vertical,True,True,2,"[0.146, 0.152, 0.265, 0.2555, 0.233, 0.209]",0.21,"[842, 861, 1503, 1461, 1335, 1343]",1224.17
Minimax,Greedy,4,horizontal,True,True,3,"[1.274, 1.4347]",1.35,"[7105, 8612]",7858.5
Minimax,Greedy,12,lru,True,True,4,"[8.0315, 25.3925, 38.6093, 27.3506, 32.9893, 17.4553]",24.97,"[49821, 146542, 225458, 163326, 195122, 110165]",148405.67
Minimax,Minimax,9,vertical,True,True,1,"[0.009, 0.005, 0.009, 0.012, 0.015]",0.01,"[37, 19, 37, 55, 73]",44.2
Minimax,Minimax,11,lrd,True,True,2,"[0.064, 0.077, 0.14, 0.159, 0.22, 0.25]",0.15,"[366, 436, 794, 895, 1233, 1462]",864.33
Minimax,Greedy,12,vertical,True,True,3,"[0.436, 1.5478, 2.1591, 2.1535, 2.8353, 1.2873]",1.74,"[2555, 8525, 11973, 12079, 15877, 7983]",9832.0
Minimax,Minimax,3,horizontal,True,True,4,"[8.2776, 13.9011]",11.09,"[49125, 82546]",65835.5
Greedy,Minimax,8,vertical,True,True,1,"[0.008, 0.009, 0.008, 0.012]",0.01,"[37, 37, 37, 55]",41.5
Minimax,Greedy,12,lru,True,True,2,"[0.205, 0.151, 0.224, 0.216, 0.227, 0.1755]",0.2,"[1194, 845, 1296, 1232, 1314, 1040]",1153.5
Minimax,Minimax,9,horizontal,True,True,3,"[1.2035, 2.8488, 2.1725, 1.8321, 0.9341]",1.8,"[6770, 16817, 12491, 11746, 6586]",10882.0
Minimax,Minimax,3,horizontal,True,True,4,"[18.1823, 38.7976]",28.49,"[108562, 229298]",168930.0
Minimax,Minimax,9,vertical,True,True,1,"[0.008, 0.005, 0.008, 0.012, 0.015]",0.01,"[37, 19, 37, 55, 73]",44.2
Minimax,Greedy,8,lrd,True,True,2,"[0.156, 0.154, 0.305, 0.224]",0.21,"[937, 863, 1732, 1272]",1201.0
